,effr
1990M09,8.20
1990M10,8.11
1990M11,7.81
1990M12,7.31
1991M01,6.91
1991M02,6.25
1991M03,6.12
1991M04,5.91
1991M05,5.78
1991M06,5.90
1991M07,5.82
1991M08,5.66
1991M09,5.45
1991M10,5.21
1991M11,4.81
1991M12,4.43
1992M01,4.03
1992M02,4.06
1992M03,3.98
1992M04,3.73
1992M05,3.82
1992M06,3.76
1992M07,3.25
1992M08,3.30
1992M09,3.22
1992M10,3.10
1992M11,3.09
1992M12,2.92
1993M01,3.02
1993M02,3.03
1993M03,3.07
1993M04,2.96
1993M05,3.00
1993M06,3.04
1993M07,3.06
1993M08,3.03
1993M09,3.09
1993M10,2.99
1993M11,3.02
1993M12,2.96
1994M01,3.05
1994M02,3.25
1994M03,3.34
1994M04,3.56
1994M05,4.01
1994M06,4.25
1994M07,4.26
1994M08,4.47
1994M09,4.73
1994M10,4.76
1994M11,5.29
1994M12,5.45
1995M01,5.53
1995M02,5.92
1995M03,5.98
1995M04,6.05
1995M05,6.01
1995M06,6.00
1995M07,5.85
1995M08,5.74
1995M09,5.80
1995M10,5.76
1995M11,5.80
1995M12,5.60
1996M01,5.56
1996M02,5.22
1996M03,5.31
1996M04,5.22
1996M05,5.24
1996M06,5.27
1996M07,5.40
1996M08,5.22
1996M09,5.30
1996M10,5.24
1996M11,5.31
1996M12,5.29
1997M01,5.25
1997M02,5.19
1997M03,5.39
1997M04,5.51
1997M05,5.50
1997M06,5.56
1997M07,5.52
1997M08,5.54
1997M09,5.54
1997M10,5.50
1997M11,5.52
1997M12,5.50
1998M01,5.56
1998M02,5.51
1998M03,5.49
1998M04,5.45
1998M05,5.49
1998M06,5.56
1998M07,5.54
1998M08,5.55
1998M09,5.51
1998M10,5.07
1998M11,4.83
1998M12,4.68
1999M01,4.63
1999M02,4.76
1999M03,4.81
1999M04,4.74
1999M05,4.74
1999M06,4.76
1999M07,4.99
1999M08,5.07
1999M09,5.22
1999M10,5.20
1999M11,5.42
1999M12,5.30
2000M01,5.45
2000M02,5.73
2000M03,5.85
2000M04,6.02
2000M05,6.27
2000M06,6.53
2000M07,6.54
2000M08,6.50
2000M09,6.52
2000M10,6.51
2000M11,6.51
2000M12,6.40
2001M01,5.98
2001M02,5.49
2001M03,5.31
2001M04,4.80
2001M05,4.21
2001M06,3.97
2001M07,3.77
2001M08,3.65
2001M09,3.07
2001M10,2.49
2001M11,2.09
2001M12,1.82
2002M01,1.73
2002M02,1.74
2002M03,1.73
2002M04,1.75
2002M05,1.75
2002M06,1.75
2002M07,1.73
2002M08,1.74
2002M09,1.75
2002M10,1.75
2002M11,1.34
2002M12,1.24
2003M01,1.24
2003M02,1.26
2003M03,1.25
2003M04,1.26
2003M05,1.26
2003M06,1.22
2003M07,1.01
2003M08,1.03
2003M09,1.01
2003M10,1.01
2003M11,1.00
2003M12,0.98
2004M01,1.00
2004M02,1.01
2004M03,1.00
2004M04,1.00
2004M05,1.00
2004M06,1.03
2004M07,1.26
2004M08,1.43
2004M09,1.61
2004M10,1.76
2004M11,1.93
2004M12,2.16
2005M01,2.28
2005M02,2.50
2005M03,2.63
2005M04,2.79
2005M05,3.00
2005M06,3.04
2005M07,3.26
2005M08,3.50
2005M09,3.62
2005M10,3.78
2005M11,4.00
2005M12,4.16
2006M01,4.29
2006M02,4.49
2006M03,4.59
2006M04,4.79
2006M05,4.94
2006M06,4.99
2006M07,5.24
2006M08,5.25
2006M09,5.25
2006M10,5.25
2006M11,5.25
2006M12,5.24
2007M01,5.25
2007M02,5.26
2007M03,5.26
2007M04,5.25
2007M05,5.25
2007M06,5.25
2007M07,5.26
2007M08,5.02
2007M09,4.94
2007M10,4.76
2007M11,4.49
2007M12,4.24
2008M01,3.94
2008M02,2.98
2008M03,2.61
2008M04,2.28
2008M05,1.98
2008M06,2.00
2008M07,2.01
2008M08,2.00
2008M09,1.81
2008M10,0.97
2008M11,0.39
2008M12,0.16
2009M01,0.15
2009M02,0.22
2009M03,0.18
2009M04,0.15
2009M05,0.18
2009M06,0.21
2009M07,0.16
2009M08,0.16
2009M09,0.15
2009M10,0.12
2009M11,0.12
2009M12,0.12
2010M01,0.11
2010M02,0.13
2010M03,0.16
2010M04,0.20
2010M05,0.20
2010M06,0.18
2010M07,0.18
2010M08,0.19
2010M09,0.19
2010M10,0.19
2010M11,0.19
2010M12,0.18
2011M01,0.17
2011M02,0.16
2011M03,0.14
2011M04,0.10
2011M05,0.09
2011M06,0.09
2011M07,0.07
2011M08,0.10
2011M09,0.08
2011M10,0.07
2011M11,0.08
2011M12,0.07
2012M01,0.08
2012M02,0.10
2012M03,0.13
2012M04,0.14
2012M05,0.16
2012M06,0.16
2012M07,0.16
2012M08,0.13
2012M09,0.14
2012M10,0.16
2012M11,0.16
2012M12,0.16
2013M01,0.14
2013M02,0.15
2013M03,0.14
